id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
0qaca9kk,2,4,0.01,0.855,0.863,0.008000000000000007,0.0040000000000000036,0.855,False,False,neither
rz84ka7a,2,4,0.001,0.801,0.779,-0.02200000000000002,-0.031000000000000028,0.801,False,False,neither
of9cgxs3,2,4,0.0,0.789,0.71,-0.07900000000000007,-0.08500000000000008,0.789,False,False,neither
c0ypylka,2,4,0.01,0.768,0.849,0.08099999999999996,0.08499999999999996,0.768,True,False,sign-matching
pvyk3bob,2,4,0.001,0.748,0.924,0.17600000000000005,0.18200000000000005,0.748,False,False,neither
7jnorors,2,4,0.0,0.678,0.553,-0.125,-0.134,0.678,False,True,violation-detecting
ewyuiqhq,2,4,0.01,0.905,0.905,0.0,0.0,0.905,False,False,neither
agial5is,2,4,0.001,0.761,0.742,-0.019000000000000017,-0.027000000000000024,0.761,False,False,neither
emz8aert,2,4,0.0,0.7,0.669,-0.030999999999999917,-0.051999999999999935,0.7,True,True,both
5r5euj2m,2,4,0.01,0.896,0.927,0.031000000000000028,0.03200000000000003,0.896,True,False,sign-matching
7u9nx9am,2,4,0.001,0.815,0.743,-0.07199999999999995,-0.10099999999999998,0.815,False,False,neither
cv711ni1,2,4,0.0,0.819,0.736,-0.08299999999999996,-0.09799999999999998,0.819,False,False,neither
b5d5gn34,2,4,0.01,0.859,0.935,0.07600000000000007,0.07600000000000007,0.859,True,False,sign-matching
428u5csv,2,4,0.001,0.676,0.898,0.22199999999999998,0.22599999999999998,0.676,True,False,sign-matching
ca3jigah,2,4,0.0,0.482,0.596,0.11399999999999999,0.10899999999999999,0.482,False,False,neither
ezzq42e8,2,4,0.01,0.869,0.869,0.0,0.0,0.869,False,False,neither
hop7cqrl,2,4,0.001,0.856,0.898,0.04200000000000004,0.03300000000000003,0.856,True,False,sign-matching
kru9uv6f,2,4,0.0,0.613,0.496,-0.11699999999999999,-0.12,0.613,False,False,neither
li2shwbr,2,4,0.01,0.9,0.94,0.039999999999999925,0.040999999999999925,0.9,True,False,sign-matching
ocg2mtkz,2,4,0.001,0.795,0.856,0.06099999999999994,0.04899999999999993,0.795,True,False,sign-matching
uc0trokp,2,4,0.0,0.728,0.313,-0.415,-0.443,0.728,False,True,violation-detecting
tksjh9u8,2,4,0.01,0.892,0.892,0.0,0.0,0.892,False,False,neither
6j2efnzx,2,4,0.001,0.842,0.942,0.09999999999999998,0.09799999999999998,0.842,True,False,sign-matching
vme15csv,2,4,0.0,0.717,0.595,-0.122,-0.15300000000000002,0.717,False,True,violation-detecting
tcxyepce,2,4,0.01,0.874,0.909,0.03500000000000003,0.038000000000000034,0.874,True,False,sign-matching
dsibxabs,2,4,0.001,0.793,0.897,0.10399999999999998,0.10299999999999998,0.793,True,False,sign-matching
u7u1v3qn,2,4,0.0,0.08,0.303,0.22299999999999998,0.20699999999999996,0.08,False,False,neither
1teq3gul,2,4,0.01,0.86,0.953,0.09299999999999997,0.09399999999999997,0.86,True,False,sign-matching
1st4qedq,2,4,0.001,0.914,0.723,-0.19100000000000006,-0.20800000000000007,0.914,False,True,violation-detecting
o9cnk8bi,2,4,0.0,0.764,0.811,0.04700000000000004,0.041000000000000036,0.764,True,False,sign-matching
y2krz2bs,2,4,0.01,0.853,0.925,0.07200000000000006,0.07600000000000007,0.853,True,False,sign-matching
a9g0io1r,2,4,0.001,0.83,0.93,0.10000000000000009,0.10300000000000009,0.83,True,False,sign-matching
j8qeo9ok,2,4,0.0,0.714,0.621,-0.09299999999999997,-0.10299999999999998,0.714,False,False,neither
0roqbljk,2,4,0.01,0.673,0.673,0.0,0.0,0.673,False,False,neither
6ny1w0fp,2,4,0.001,0.797,0.796,-0.0010000000000000009,-0.0010000000000000009,0.797,False,False,neither
g0brklw6,2,4,0.0,0.544,0.599,0.05499999999999994,0.030999999999999917,0.544,False,False,neither
x1iifjyp,2,4,0.01,0.809,0.809,0.0,0.0,0.809,False,False,neither
dzgfeiak,2,4,0.001,0.825,0.78,-0.04499999999999993,-0.05499999999999994,0.825,False,False,neither
68bkthnc,2,4,0.0,0.616,0.534,-0.08199999999999996,-0.06699999999999995,0.616,False,False,neither
gq7hl025,2,4,0.01,0.797,0.797,0.0,0.0,0.797,False,False,neither
emf94h4v,2,4,0.001,0.686,0.92,0.23399999999999999,0.235,0.686,True,False,sign-matching
4l0j90ld,2,4,0.0,0.254,0.701,0.44699999999999995,0.44599999999999995,0.254,False,False,neither
hqyloz43,3,4,0.01,0.066,0.066,0.0,0.0,0.066,False,False,neither
6co0pl9i,3,4,0.001,0.74,0.741,0.0010000000000000009,0.0020000000000000018,0.74,False,False,neither
sekevna7,3,4,0.0,0.77,0.83,0.05999999999999994,0.04200000000000004,0.77,False,False,neither
5og3j609,3,4,0.01,0.012,0.012,0.0,0.0,0.012,False,False,neither
67x1mts0,3,4,0.001,0.29,0.29,0.0,0.0,0.29,False,False,neither
vej9zs85,3,4,0.0,0.668,0.702,0.03399999999999992,0.006000000000000005,0.668,False,False,neither
7yeb2kk8,3,4,0.01,0.769,0.769,0.0,0.0,0.769,True,False,sign-matching
spoz7qv3,3,4,0.001,0.474,0.671,0.19700000000000006,0.21899999999999997,0.474,True,False,sign-matching
j8gjrvbj,3,4,0.0,0.75,0.792,0.04200000000000004,0.031000000000000028,0.75,False,False,neither
sh0hphe2,3,4,0.01,0.055,0.055,0.0,0.0,0.055,False,False,neither
x0ve7qt6,3,4,0.001,0.911,0.775,-0.136,-0.15200000000000002,0.911,False,True,violation-detecting
jd230b4h,3,4,0.0,1.0,0.632,-0.368,-0.384,1.0,False,True,violation-detecting
k9wknx6b,3,4,0.01,0.512,0.512,0.0,0.0,0.512,False,False,neither
5gekouta,3,4,0.001,0.111,0.111,0.0,0.0,0.111,False,False,neither
02mnswty,3,4,0.0,0.898,0.82,-0.07800000000000007,-0.14300000000000002,0.898,False,False,neither
86v8r1m1,3,4,0.01,0.367,0.367,0.0,0.0,0.367,False,False,neither
lt6dkmxp,3,4,0.001,0.915,0.741,-0.17400000000000004,-0.18400000000000005,0.915,False,True,violation-detecting
