id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
109k9pcu,2,2,0.01,1,2,0.854,0.854,0.0,0.0,0.854,0.0,0.006,neither
109k9pcu,2,2,0.01,2,1,0.854,0.854,0.0,0.0,0.854,0.0,0.0,neither
109k9pcu,2,2,0.01,2,2,0.854,0.854,0.0,0.0,0.854,0.0,0.0,neither
azc37rul,2,2,0.001,1,1,0.814,0.801,-0.0129999999999999,-0.0129999999999999,0.814,0.0,0.002,neither
azc37rul,2,2,0.001,1,2,0.814,0.804,-0.009999999999999898,-0.009999999999999898,0.814,0.0,0.0,neither
azc37rul,2,2,0.001,2,1,0.814,0.814,0.0,0.0,0.814,0.0,0.0,neither
azc37rul,2,2,0.001,2,2,0.814,0.813,-0.0010000000000000009,-0.010999999999999899,0.814,0.5740000009536743,0.426,neither
539mnmya,2,2,0.0,1,1,0.997,0.997,0.0,0.0010000000000000009,0.997,0.0020000000949949,0.007,neither
539mnmya,2,2,0.0,1,2,0.997,0.997,0.0,-0.0010000000000000009,0.997,0.0209999997168779,0.0,neither
539mnmya,2,2,0.0,2,1,0.997,0.902,-0.09499999999999997,-0.09899999999999998,0.997,0.0,0.997,violation-detecting
539mnmya,2,2,0.0,2,2,0.997,0.876,-0.121,-0.122,0.997,0.0,0.99,violation-detecting
0nbysgqs,2,2,0.01,1,1,0.934,0.934,0.0,0.0,0.934,0.0,0.0,neither
0nbysgqs,2,2,0.01,1,2,0.934,0.934,0.0,0.0,0.934,0.0,0.0,neither
0nbysgqs,2,2,0.01,2,1,0.934,0.934,0.0,0.0,0.934,0.0,0.0,neither
0nbysgqs,2,2,0.01,2,2,0.934,0.936,0.0020000000000000018,0.0020000000000000018,0.934,0.9940000176429749,0.0,sign-matching
qtda56zd,2,2,0.001,1,1,0.665,0.653,-0.01200000000000001,-0.01200000000000001,0.665,0.0,0.006,neither
qtda56zd,2,2,0.001,1,2,0.665,0.652,-0.013000000000000012,-0.014000000000000012,0.665,0.0,0.006,neither
qtda56zd,2,2,0.001,2,1,0.665,0.665,0.0,0.0,0.665,0.0,0.0,neither
qtda56zd,2,2,0.001,2,2,0.665,0.794,0.129,0.10399999999999998,0.665,0.9490000009536744,0.051,sign-matching
75r56wa2,2,2,0.0,1,1,0.722,0.728,0.006000000000000005,0.0030000000000000027,0.722,0.0189999993890523,0.0,neither
75r56wa2,2,2,0.0,1,2,0.722,0.718,-0.0040000000000000036,-0.010000000000000009,0.722,0.0179999992251396,0.004,neither
75r56wa2,2,2,0.0,2,1,0.722,0.708,-0.014000000000000012,-0.02100000000000002,0.722,0.209999993443489,0.407,neither
75r56wa2,2,2,0.0,2,2,0.722,0.788,0.06600000000000006,0.06900000000000006,0.722,0.9980000257492064,0.0,sign-matching
qw2o217v,2,2,0.01,1,1,0.922,0.922,0.0,0.0,0.922,0.0,0.0,neither
qw2o217v,2,2,0.01,1,2,0.922,0.922,0.0,0.0,0.922,0.006000000052154,0.0,neither
qw2o217v,2,2,0.01,2,1,0.922,0.922,0.0,0.0,0.922,0.0,0.0,neither
qw2o217v,2,2,0.01,2,2,0.922,0.935,0.013000000000000012,0.013000000000000012,0.922,0.9860000014305116,0.0,sign-matching
x6lq45m3,2,2,0.001,1,1,0.922,0.922,0.0,0.0,0.922,0.0,0.036,neither
x6lq45m3,2,2,0.001,1,2,0.922,0.922,0.0,0.0,0.922,0.0049999998882412,0.0,neither
x6lq45m3,2,2,0.001,2,1,0.922,0.922,0.0,0.0,0.922,0.0,0.0,neither
x6lq45m3,2,2,0.001,2,2,0.922,0.809,-0.11299999999999999,-0.124,0.922,0.0010000000474974,0.999,violation-detecting
a86vffjw,2,2,0.0,1,1,0.982,0.981,-0.0010000000000000009,-0.0010000000000000009,0.982,0.0170000009238719,0.002,neither
a86vffjw,2,2,0.0,1,2,0.982,0.983,0.0010000000000000009,0.0,0.982,0.0109999999403953,0.002,neither
a86vffjw,2,2,0.0,2,1,0.982,0.759,-0.22299999999999998,-0.22899999999999998,0.982,0.0,1.0,violation-detecting
a86vffjw,2,2,0.0,2,2,0.982,0.851,-0.131,-0.14100000000000001,0.982,0.0,1.0,violation-detecting
czdnaqqk,2,2,0.01,1,1,0.881,0.881,0.0,0.0,0.881,0.0,0.0,neither
czdnaqqk,2,2,0.01,1,2,0.881,0.881,0.0,0.0,0.881,0.0,0.0,neither
czdnaqqk,2,2,0.01,2,1,0.881,0.905,0.02400000000000002,0.02400000000000002,0.881,0.9139999747276306,0.086,sign-matching
czdnaqqk,2,2,0.01,2,2,0.881,0.881,0.0,0.0,0.881,0.0,0.0,neither
8dr77y3h,2,2,0.001,1,1,0.848,0.85,0.0020000000000000018,0.0020000000000000018,0.848,0.0070000002160668,0.0,neither
8dr77y3h,2,2,0.001,1,2,0.848,0.85,0.0020000000000000018,0.0020000000000000018,0.848,0.0070000002160668,0.0,neither
8dr77y3h,2,2,0.001,2,1,0.848,0.817,-0.031000000000000028,-0.038999999999999924,0.848,0.3389999866485595,0.661,neither
8dr77y3h,2,2,0.001,2,2,0.848,0.848,0.0,0.0,0.848,0.0,0.0,neither
5bbgxqan,2,2,0.0,1,1,0.749,0.716,-0.03300000000000003,-0.03200000000000003,0.749,0.0040000001899898,0.016,neither
5bbgxqan,2,2,0.0,1,2,0.749,0.759,0.010000000000000009,0.008000000000000007,0.749,0.0099999997764825,0.007,neither
5bbgxqan,2,2,0.0,2,1,0.749,0.713,-0.03600000000000003,-0.03600000000000003,0.749,0.1070000007748603,0.474,neither
5bbgxqan,2,2,0.0,2,2,0.749,0.586,-0.16300000000000003,-0.16900000000000004,0.749,0.0010000000474974,0.944,violation-detecting
61ea7zvm,2,2,0.01,1,1,0.867,0.867,0.0,0.0,0.867,0.0,0.0,neither
61ea7zvm,2,2,0.01,1,2,0.867,0.867,0.0,0.0,0.867,0.0,0.0,neither
